game_id,season,round,date,ts,kickoff_hour,weekday,played,status,home_id,home,away_id,away,hg,ag,h_xa,a_xa,h_xgot,a_xgot,h_saves,a_saves,h_shots,a_shots,h_xgc,a_xgc,h_fouls,a_fouls,h_corners,a_corners,h_red,a_red,h_shots_ib,a_shots_ib,h_attacks,a_attacks,h_sot,a_sot,h_bigch,a_bigch,h_yellow,a_yellow,h_poss,a_poss,h_xg,a_xg,book,odds_H,open_H,odds_D,open_D,odds_A,open_A,h_rest,a_rest,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4214722,142,3,2024-09-20,1726839000.0,17.5,4,True,Ended,8345,Baniyas,8652,Ajman Club,3.0,1.0,0.98,0.47,1.55,0.54,0.0,1.0,8.0,8.0,0.27,0.76,14.0,12.0,2.0,8.0,0.0,0.0,,,80.0,94.0,4.0,1.0,1.0,0.0,0.0,0.0,42.0,58.0,0.76,0.27,Bet365,2.25,2.0,3.6,4.0,2.55,2.75,,,0.77,0.77,0.77,0.77,0.0,0.37,1.5500000000000005,0.0,8.0,0.25,0.25,0.22,0.2,0.03,0.02,0.54,0.0,8.0
4214727,142,3,2024-09-20,1726848000.0,20.0,4,True,Ended,10904,Dubba Al Husun,57374,Al Bataeh,1.0,2.0,0.44,1.63,0.61,2.21,5.0,2.0,9.0,12.0,1.89,0.48,9.0,7.0,5.0,2.0,0.0,0.0,,,88.0,95.0,3.0,7.0,1.0,3.0,1.0,4.0,50.0,50.0,0.48,1.89,Bet365,3.2,3.4,3.9,4.0,1.85,1.75,,,0.4800000000000001,0.4800000000000001,0.45,0.39,0.03,0.36,0.62,0.0,9.0,1.8800000000000003,1.8800000000000003,1.8800000000000003,1.8800000000000003,0.0,1.8800000000000003,2.21,0.0,12.0
4214724,142,3,2024-09-21,1726925400.0,17.5,5,True,Ended,8351,Sharjah SC,8344,Jazira Abu Dhabi,4.0,0.0,1.04,0.31,2.11,0.11,1.0,3.0,14.0,7.0,0.3,1.17,7.0,10.0,7.0,2.0,0.0,2.0,,,74.0,77.0,7.0,1.0,1.0,0.0,1.0,0.0,53.0,47.0,1.17,0.3,Bet365,2.05,1.91,3.4,3.6,3.1,3.2,,,1.17,1.17,1.17,0.8200000000000001,0.0,0.18,2.1100000000000003,0.0,14.0,0.3,0.3,0.3,0.22,0.0,0.04,0.11,0.0,7.0
4214725,142,3,2024-09-21,1726934400.0,20.0,5,True,Ended,8346,Al Wasl,8349,Al Nasr Dubai,3.0,1.0,,,,,1.0,6.0,19.0,4.0,,,11.0,7.0,5.0,4.0,0.0,0.0,,,85.0,82.0,9.0,2.0,1.0,0.0,2.0,1.0,52.0,48.0,,,Bet365,1.73,1.8,3.75,3.6,3.8,3.6,,,1.14,1.14,1.09,0.74,0.05,0.24,1.49,0.0,19.0,0.13,0.13,0.13,0.08,0.0,0.12,0.23,0.0,4.0
4214723,142,3,2024-09-22,1727011800.0,17.5,6,True,Ended,8347,Shabab Al Ahly,8350,Al-Wahda,5.0,4.0,1.57,0.35,3.32,2.5,3.0,4.0,16.0,9.0,0.76,1.36,13.0,9.0,5.0,6.0,0.0,0.0,,,,,9.0,7.0,4.0,1.0,4.0,0.0,51.0,49.0,1.36,0.76,,,,,,,,,,1.35,1.35,1.3,1.15,0.05,0.67,3.32,0.0,16.0,0.76,0.76,0.5,0.5,0.26,0.13,2.5000000000000004,0.0,9.0
4214728,142,3,2024-09-22,1727011800.0,17.5,6,True,Ended,11565,Al Urooba,11134,Khor Fakkan,1.0,2.0,0.73,1.06,0.76,2.21,3.0,6.0,11.0,14.0,1.86,0.77,19.0,10.0,6.0,5.0,0.0,0.0,,,69.0,104.0,6.0,5.0,0.0,2.0,4.0,2.0,44.0,56.0,0.77,1.86,Bet365,2.88,2.4,3.7,3.75,2.0,2.3,,,0.77,0.77,0.54,0.5,0.23,0.56,0.76,0.0,11.0,1.8500000000000003,1.06,0.64,0.64,0.42,0.97,2.22,1.0,14.0
4215750,142,4,2024-09-26,1727356800.0,17.333333333333332,3,True,Ended,57374,Al Bataeh,8351,Sharjah SC,0.0,2.0,,,,,8.0,3.0,11.0,21.0,,,8.0,9.0,2.0,8.0,0.0,0.0,,,43.0,70.0,3.0,10.0,0.0,2.0,0.0,1.0,41.0,59.0,,,Bet365,4.75,5.0,4.5,4.5,1.48,1.44,5.888888888888889,4.993055555555555,0.7500000000000001,0.7500000000000001,0.7200000000000001,0.64,0.03,0.38,0.31,0.0,11.0,2.5500000000000003,1.7600000000000005,1.7600000000000005,1.6600000000000004,0.0,1.5200000000000005,3.99,1.0,21.0
4215751,142,4,2024-09-26,1727366400.0,20.0,3,True,Ended,8353,Al Ain,8346,Al Wasl,4.0,2.0,1.18,0.77,3.29,0.53,1.0,4.0,22.0,15.0,0.77,1.87,6.0,13.0,8.0,5.0,0.0,1.0,,,99.0,83.0,8.0,3.0,1.0,2.0,1.0,3.0,60.0,40.0,1.87,0.77,Bet365,2.38,2.8,3.7,3.75,2.4,2.05,,5.0,1.8800000000000008,1.0900000000000003,1.0900000000000003,0.9900000000000004,0.0,0.44,3.29,1.0,22.0,0.7700000000000002,0.7700000000000002,0.7100000000000002,0.6500000000000001,0.06,0.1,0.54,0.0,15.0
4215747,142,4,2024-09-27,1727443200.0,17.333333333333332,4,True,Ended,8652,Ajman Club,10904,Dubba Al Husun,5.0,1.0,,,,,2.0,5.0,16.0,14.0,,,17.0,7.0,9.0,6.0,0.0,0.0,,,57.0,70.0,10.0,3.0,3.0,1.0,3.0,1.0,44.0,56.0,,,Bet365,1.48,1.57,3.75,3.6,5.75,4.75,6.993055555555555,6.888888888888889,1.61,1.61,1.6,1.46,0.01,0.84,3.2900000000000005,0.0,16.0,2.22,1.4300000000000002,1.4300000000000002,1.3000000000000005,0.0,0.03,1.4900000000000002,1.0,14.0
4215749,142,4,2024-09-27,1727443200.0,17.333333333333332,4,True,Ended,11565,Al Urooba,8347,Shabab Al Ahly,1.0,4.0,,,,,1.0,1.0,11.0,12.0,,,16.0,7.0,3.0,1.0,0.0,0.0,,,66.0,74.0,3.0,5.0,1.0,2.0,5.0,0.0,34.0,66.0,,,Bet365,8.0,4.75,6.25,5.0,1.2,1.42,4.993055555555555,4.993055555555555,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7200000000000001,0.0,0.02,0.61,0.0,11.0,1.64,0.8500000000000001,0.6,0.6,0.25,0.12,2.56,1.0,12.0
