game_id,rec_h,rec_a,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4214722,3,1,0.77,0.77,0.77,0.77,0.0,0.37,1.5500000000000005,0.0,8.0,0.25,0.25,0.22,0.2,0.03,0.02,0.54,0.0,8.0
4214723,5,4,1.35,1.35,1.3,1.15,0.05,0.67,3.32,0.0,16.0,0.76,0.76,0.5,0.5,0.26,0.13,2.5000000000000004,0.0,9.0
4214724,4,0,1.17,1.17,1.17,0.8200000000000001,0.0,0.18,2.1100000000000003,0.0,14.0,0.3,0.3,0.3,0.22,0.0,0.04,0.11,0.0,7.0
4214725,3,1,1.14,1.14,1.09,0.74,0.05,0.24,1.49,0.0,19.0,0.13,0.13,0.13,0.08,0.0,0.12,0.23,0.0,4.0
4214726,3,4,0.41,0.41,0.36,0.27,0.05,0.22,1.4300000000000002,0.0,4.0,2.89,2.89,2.59,2.37,0.3,0.3999999999999999,2.94,0.0,28.0
4214727,1,2,0.4800000000000001,0.4800000000000001,0.45,0.39,0.03,0.36,0.62,0.0,9.0,1.8800000000000003,1.8800000000000003,1.8800000000000003,1.8800000000000003,0.0,1.8800000000000003,2.21,0.0,12.0
4214728,1,2,0.77,0.77,0.54,0.5,0.23,0.56,0.76,0.0,11.0,1.8500000000000003,1.06,0.64,0.64,0.42,0.97,2.22,1.0,14.0
4215747,5,1,1.61,1.61,1.6,1.46,0.01,0.84,3.2900000000000005,0.0,16.0,2.22,1.4300000000000002,1.4300000000000002,1.3000000000000005,0.0,0.03,1.4900000000000002,1.0,14.0
4215748,2,2,0.96,0.96,0.95,0.62,0.01,0.58,2.04,0.0,14.0,1.2600000000000002,1.2600000000000002,1.2300000000000002,1.2300000000000002,0.03,0.85,1.5100000000000002,0.0,9.0
4215749,1,4,0.7700000000000001,0.7700000000000001,0.7700000000000001,0.7200000000000001,0.0,0.02,0.61,0.0,11.0,1.64,0.8500000000000001,0.6,0.6,0.25,0.12,2.56,1.0,12.0
4215750,0,2,0.7500000000000001,0.7500000000000001,0.7200000000000001,0.64,0.03,0.38,0.31,0.0,11.0,2.5500000000000003,1.7600000000000005,1.7600000000000005,1.6600000000000004,0.0,1.5200000000000005,3.99,1.0,21.0
4215751,4,2,1.8800000000000008,1.0900000000000003,1.0900000000000003,0.9900000000000004,0.0,0.44,3.29,1.0,22.0,0.7700000000000002,0.7700000000000002,0.7100000000000002,0.6500000000000001,0.06,0.1,0.54,0.0,15.0
4215752,0,2,1.2800000000000002,1.2800000000000002,0.9400000000000004,0.42,0.3399999999999999,0.6500000000000001,0.75,0.0,14.0,0.6799999999999999,0.6799999999999999,0.57,0.55,0.11,0.22,1.83,0.0,11.0
4215753,3,1,2.22,1.4300000000000002,1.4300000000000002,1.3600000000000003,0.0,0.0,2.85,1.0,15.0,1.02,1.02,0.95,0.83,0.07,0.02,0.27,0.0,21.0
4215754,3,1,1.53,1.53,1.53,1.35,0.0,0.49,2.2,0.0,10.0,0.5199999999999999,0.5199999999999999,0.4499999999999999,0.4499999999999999,0.07,0.26,1.6,0.0,7.0
4215755,1,6,0.3,0.3,0.24,0.1999999999999999,0.06,0.0,0.7000000000000001,0.0,11.0,4.42,3.63,2.73,1.7000000000000002,0.8999999999999999,1.61,5.430000000000001,1.0,14.0
4215756,3,0,0.7600000000000001,0.7600000000000001,0.7600000000000001,0.7500000000000001,0.0,0.09,2.05,0.0,11.0,1.2300000000000002,1.2300000000000002,1.09,0.8700000000000001,0.14,0.26,0.81,0.0,21.0
4215757,3,4,1.1700000000000002,1.1700000000000002,1.1700000000000002,1.0200000000000002,0.0,0.28,1.08,0.0,14.0,1.64,1.64,1.61,1.07,0.03,0.8300000000000001,2.19,0.0,17.0
4215758,1,5,0.29,0.29,0.29,0.29,0.0,0.03,0.76,0.0,4.0,3.24,2.45,2.3800000000000003,2.140000000000001,0.07,0.74,2.8000000000000003,1.0,26.0
4215759,1,2,0.8900000000000001,0.8900000000000001,0.8800000000000001,0.6200000000000001,0.01,0.3,0.89,0.0,18.0,1.3800000000000003,0.5900000000000001,0.5900000000000001,0.31,0.0,0.45,1.96,1.0,8.0
4215760,2,1,1.9,0.32,0.29,0.24,0.03,0.26,1.91,2.0,13.0,0.38,0.38,0.34,0.34,0.04,0.13,0.89,0.0,7.0
4224403,3,1,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.0,0.2,1.79,0.0,9.0,0.29,0.29,0.26,0.26,0.03,0.13,0.72,0.0,5.0
4225051,1,0,0.74,0.74,0.32,0.32,0.42,0.42,1.27,0.0,5.0,0.14,0.14,0.14,0.14,0.0,0.0,0.02,0.0,7.0
4225052,3,1,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.51,0.0,0.08,1.37,0.0,7.0,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.0,0.0,0.8400000000000001,0.0,4.0
4225053,0,0,0.06,0.06,0.06,0.06,0.0,0.06,0.0,0.0,2.0,0.6800000000000002,0.6800000000000002,0.6800000000000002,0.53,0.0,0.6800000000000002,0.01,0.0,10.0
4225855,3,4,1.2800000000000002,0.49,0.43,0.41,0.06,0.02,1.93,1.0,10.0,2.5600000000000005,1.7700000000000002,1.64,1.56,0.13,0.21,3.8,1.0,21.0
4225856,2,1,1.65,0.8600000000000001,0.8600000000000001,0.7200000000000001,0.0,0.75,1.7,1.0,11.0,0.41,0.41,0.28,0.28,0.13,0.18,0.22,0.0,6.0
4248779,1,4,0.91,0.91,0.88,0.88,0.03,0.36,0.8,0.0,7.0,3.329999999999999,2.54,2.47,2.47,0.07,1.16,3.0499999999999994,1.0,10.0
4248780,3,0,1.7600000000000002,0.9700000000000002,0.7200000000000002,0.7000000000000002,0.25,0.04,2.1099999999999994,1.0,18.0,0.51,0.51,0.51,0.21,0.0,0.0,0.24,0.0,11.0
4248781,0,1,1.9500000000000004,1.16,0.99,0.7699999999999999,0.17,0.11,1.2999999999999998,1.0,17.0,1.0,1.0,1.0,0.8300000000000001,0.0,0.8,0.67,0.0,10.0
4248782,0,0,0.5099999999999999,0.5099999999999999,0.5099999999999999,0.26,0.0,0.5099999999999999,0.55,0.0,8.0,0.7200000000000001,0.7200000000000001,0.68,0.6000000000000001,0.04,0.7200000000000001,0.0,0.0,13.0
4248783,2,2,2.18,2.18,2.12,1.58,0.06,1.33,2.54,0.0,17.0,0.8700000000000001,0.8700000000000001,0.79,0.78,0.08,0.6200000000000001,1.5,0.0,11.0
4248784,1,1,0.6000000000000001,0.6000000000000001,0.56,0.55,0.04,0.21,0.5800000000000001,0.0,15.0,0.88,0.88,0.7100000000000001,0.64,0.17,0.35,0.37,0.0,11.0
4248785,3,1,1.08,1.08,1.08,1.04,0.0,0.7000000000000001,1.83,0.0,15.0,0.7800000000000001,0.7800000000000001,0.7500000000000001,0.5700000000000001,0.03,0.7800000000000001,0.3999999999999999,0.0,15.0
4248786,1,0,0.49,0.49,0.49,0.47,0.0,0.17,0.94,0.0,5.0,0.68,0.68,0.56,0.48,0.12,0.26,0.23,0.0,13.0
4248787,4,0,1.58,1.58,1.4900000000000002,1.12,0.09,0.67,1.95,0.0,12.0,0.4800000000000001,0.4800000000000001,0.31,0.19,0.1699999999999999,0.12,0.15,0.0,10.0
4248788,2,2,1.37,1.37,1.12,1.12,0.25,1.26,2.35,0.0,14.0,0.55,0.55,0.55,0.53,0.0,0.42,0.91,0.0,9.0
4248789,1,3,0.82,0.82,0.69,0.5700000000000001,0.13,0.03,0.89,0.0,11.0,2.9599999999999995,2.1699999999999995,2.01,1.2100000000000002,0.16,1.05,1.91,1.0,14.0
4248790,0,0,1.98,1.1900000000000002,1.14,1.14,0.05,1.1900000000000002,0.29,1.0,19.0,0.17,0.17,0.06,0.06,0.11,0.17,0.0,0.0,5.0
4248791,2,4,1.7700000000000002,1.7700000000000002,1.7600000000000002,1.16,0.01,0.0,1.39,0.0,13.0,3.41,3.41,2.870000000000001,1.81,0.54,0.4499999999999999,5.170000000000001,0.0,19.0
4248792,3,0,1.3400000000000003,1.3400000000000003,1.2100000000000002,1.14,0.13,0.4,2.28,0.0,15.0,0.9200000000000002,0.9200000000000002,0.8600000000000001,0.8500000000000001,0.06,0.0,0.66,0.0,11.0
4289098,4,0,3.61,3.61,2.7100000000000004,2.5600000000000005,0.9,0.7200000000000001,3.3000000000000003,0.0,24.0,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.5700000000000001,0.0,0.28,0.22,0.0,8.0
4289099,1,1,1.5,0.71,0.17,0.17,0.54,0.09,0.7000000000000001,1.0,5.0,2.02,2.02,1.82,1.2100000000000002,0.2,0.78,2.03,0.0,25.0
4289101,3,1,2.43,1.64,1.5500000000000005,1.54,0.09,0.78,2.92,1.0,17.0,0.4499999999999999,0.4499999999999999,0.35,0.21,0.1,0.35,0.7999999999999999,0.0,8.0
4289102,1,1,1.04,1.04,0.99,0.98,0.05,0.7500000000000001,0.51,0.0,12.0,2.26,1.4700000000000004,1.4,1.04,0.07,0.36,1.5699999999999998,1.0,19.0
4289103,3,2,2.05,1.26,0.99,0.16,0.27,0.83,2.5500000000000003,1.0,8.0,2.7,2.7,1.6200000000000003,0.8000000000000003,1.08,0.0,2.79,0.0,15.0
4289104,0,1,0.7200000000000001,0.7200000000000001,0.5800000000000001,0.47,0.14,0.3999999999999999,1.97,0.0,10.0,1.46,0.6699999999999999,0.64,0.5900000000000001,0.03,0.6499999999999999,0.84,1.0,12.0
4289262,2,0,2.51,1.7200000000000004,1.3700000000000003,1.2100000000000002,0.35,1.0100000000000002,2.5700000000000003,1.0,19.0,0.15,0.15,0.1,0.06,0.05,0.12,0.06,0.0,5.0
4289263,6,0,3.23,3.23,2.0900000000000003,1.8600000000000003,1.14,0.58,4.430000000000001,0.0,21.0,0.98,0.19,0.19,0.15,0.0,0.0,0.08,1.0,5.0
4289264,4,1,2.45,1.66,1.54,1.54,0.12,0.24,2.97,1.0,19.0,0.51,0.51,0.51,0.51,0.0,0.0,0.88,0.0,5.0
4289265,0,0,0.7000000000000001,0.7000000000000001,0.61,0.48,0.09,0.7000000000000001,0.0999999999999999,0.0,13.0,0.3399999999999999,0.3399999999999999,0.3399999999999999,0.28,0.0,0.3399999999999999,0.17,0.0,9.0
4289266,5,2,1.86,1.86,1.48,1.38,0.38,0.5700000000000001,2.58,0.0,15.0,0.48,0.48,0.48,0.47,0.0,0.21,1.09,0.0,7.0
4289267,3,3,2.93,2.1399999999999992,2.1399999999999992,1.08,0.0,0.03,0.96,1.0,17.0,1.6000000000000003,1.6000000000000003,1.5400000000000005,1.3300000000000003,0.06,0.0,2.76,0.0,19.0
4289268,0,3,0.24,0.24,0.2,0.2,0.04,0.01,0.75,0.0,9.0,2.8999999999999995,2.8999999999999995,1.03,0.91,1.87,1.72,2.97,0.0,23.0
4289269,3,0,1.6300000000000003,1.6300000000000003,1.4300000000000002,1.39,0.2,0.45,2.8200000000000003,0.0,18.0,0.54,0.54,0.53,0.41,0.01,0.12,0.27,0.0,8.0
4289270,1,3,1.06,1.06,0.7300000000000002,0.6000000000000001,0.33,0.91,0.89,0.0,17.0,1.37,1.37,1.32,1.1700000000000002,0.05,0.5,2.43,0.0,17.0
4289271,3,1,1.59,1.59,1.39,1.14,0.2,0.13,2.03,0.0,19.0,1.1900000000000002,1.1900000000000002,1.14,0.6000000000000001,0.05,0.24,0.44,0.0,9.0
4289272,1,1,0.68,0.68,0.49,0.29,0.19,0.68,0.88,0.0,7.0,0.91,0.91,0.7100000000000001,0.67,0.1999999999999999,0.7600000000000001,0.92,0.0,13.0
4289273,2,0,1.03,1.03,1.02,0.91,0.01,0.24,1.39,0.0,12.0,0.3899999999999999,0.3899999999999999,0.3699999999999999,0.32,0.02,0.07,0.64,0.0,14.0
4289274,2,3,3.47,2.68,0.77,0.77,1.91,2.0200000000000005,3.78,1.0,12.0,1.4600000000000004,1.4600000000000004,0.7200000000000002,0.7200000000000002,0.74,0.35,2.02,0.0,19.0
4289275,0,2,0.51,0.51,0.48,0.3399999999999999,0.03,0.39,0.0,0.0,12.0,1.35,1.35,1.35,1.35,0.0,0.9200000000000002,1.76,0.0,15.0
4295056,0,0,0.5900000000000001,0.5900000000000001,0.49,0.35,0.1,0.5900000000000001,0.0,0.0,12.0,0.5000000000000001,0.5000000000000001,0.4600000000000001,0.3600000000000001,0.04,0.5000000000000001,0.13,0.0,9.0
4295057,3,1,2.62,1.8300000000000003,1.7500000000000002,1.4600000000000002,0.08,0.5700000000000001,2.3800000000000003,1.0,16.0,0.2799999999999999,0.2799999999999999,0.2799999999999999,0.2799999999999999,0.0,0.0,0.24,0.0,5.0
4295058,2,1,0.56,0.56,0.53,0.46,0.03,0.54,0.8300000000000001,0.0,10.0,1.3700000000000003,1.3700000000000003,1.3300000000000003,1.3300000000000003,0.04,1.2100000000000002,1.7700000000000005,0.0,14.0
4295059,3,1,1.7700000000000002,1.7700000000000002,1.63,1.1900000000000002,0.14,0.7700000000000001,2.43,0.0,25.0,0.91,0.91,0.5700000000000001,0.48,0.3399999999999999,0.29,1.36,0.0,9.0
4295060,2,3,1.29,1.29,1.06,0.4599999999999999,0.23,0.94,1.11,0.0,13.0,2.16,2.16,2.14,1.9100000000000004,0.02,1.03,2.71,0.0,20.0
4295061,2,1,0.52,0.52,0.38,0.38,0.14,0.41,0.81,0.0,5.0,2.0,2.0,1.1,0.85,0.9,2.0,1.53,0.0,15.0
4295062,4,5,0.95,0.95,0.95,0.84,0.0,0.13,1.57,0.0,11.0,1.11,1.11,1.04,0.83,0.07,0.6900000000000001,3.03,0.0,16.0
4295063,0,3,0.39,0.39,0.39,0.23,0.0,0.39,0.38,0.0,4.0,3.34,3.34,3.24,2.54,0.1,0.49,3.24,0.0,22.0
